# Protonated molecular masses from trypsin (modified porcine
# trypsin, Promega) and keratin peptides.
#
matrix	568.13
T	515.33
T	842.51
T	856.50
T	870.54
?	881.29
Q	897.41
Q	973.53
Q	1037.53
T	1045.56
Q	1060.56
Q	1066.50
Q	1066.52
T	1126.56
Q	1140.56
Q	1165.58
Q	1179.60
Q	1184.59
Q	1193.62
Q	1234.68
Q	1307.68
T	1316.73
Q	1320.58
Q	1357.70
Q	1357.72
Q	1365.64
Q	1373.65
Q	1383.69
T	1424.77
Q	1434.77
Q	1474.75
Q	1475.79
T	1504.71
Q	1699.82
Q	1707.77
Q	1716.85
T	1802.94
Q	1838.91
T	1940.93
T	1987.09
Q	1993.98
T	2211.105
T	2221.13
T	2225.12
T	2235.18
T	2239.14
T	2283.18
T	2299.18
T	2297.18
Q	2312.15
Q	2383.95
T	2419.22
Q	2510.13
T	2662.34
Q	2705.16
T?	2707.42
T?	2720.29
T?	2731.35
T	2748.26
T	2807.30
Q	2831.19
T?	2914.47
Q	3312.31
#
#
Displacements
#
OxyMet/OxyThr	15.995
Sodium		22.990
